Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
R126,RES1206-3216,4442.520mil,3206.141mil,4442.520mil,3206.141mil,4442.520mil,3139.212mil,B,90.00,100K
R226,RES1206-3216,9245.670mil,3206.141mil,9245.670mil,3206.141mil,9245.670mil,3139.212mil,B,90.00,100K
R326,RES1206-3216,4442.520mil,9032.913mil,4442.520mil,9032.913mil,4442.520mil,8965.984mil,B,90.00,100K
R426,RES1206-3216,9245.670mil,9032.913mil,9245.670mil,9032.913mil,9245.670mil,8965.984mil,B,90.00,100K
R132,RES1206-3216,3482.520mil,5766.141mil,3482.520mil,5766.141mil,3482.520mil,5699.212mil,B,90.00,100R
R232,RES1206-3216,8285.670mil,5766.141mil,8285.670mil,5766.141mil,8285.670mil,5699.212mil,B,90.00,100R
R332,RES1206-3216,3482.520mil,11592.913mil,3482.520mil,11592.913mil,3482.520mil,11525.984mil,B,90.00,100R
R432,RES1206-3216,8285.670mil,11592.913mil,8285.670mil,11592.913mil,8285.670mil,11525.984mil,B,90.00,100R
R124,RES1206-3216,2742.520mil,2566.141mil,2742.520mil,2566.141mil,2675.591mil,2566.141mil,B,360.00,10K
R224,RES1206-3216,7545.670mil,2566.141mil,7545.670mil,2566.141mil,7478.741mil,2566.141mil,B,360.00,10K
R324,RES1206-3216,2742.520mil,8392.913mil,2742.520mil,8392.913mil,2675.591mil,8392.913mil,B,360.00,10K
R424,RES1206-3216,7545.670mil,8392.913mil,7545.670mil,8392.913mil,7478.741mil,8392.913mil,B,360.00,10K
R123,RES1206-3216,2742.520mil,2666.141mil,2742.520mil,2666.141mil,2675.591mil,2666.141mil,B,360.00,10K
R223,RES1206-3216,7545.670mil,2666.141mil,7545.670mil,2666.141mil,7478.741mil,2666.141mil,B,360.00,10K
R323,RES1206-3216,2742.520mil,8492.913mil,2742.520mil,8492.913mil,2675.591mil,8492.913mil,B,360.00,10K
R423,RES1206-3216,7545.670mil,8492.913mil,7545.670mil,8492.913mil,7478.741mil,8492.913mil,B,360.00,10K
R122,RES1206-3216,602.520mil,3026.141mil,602.520mil,3026.141mil,669.449mil,3026.141mil,B,180.00,100R
R222,RES1206-3216,5405.670mil,3026.141mil,5405.670mil,3026.141mil,5472.599mil,3026.141mil,B,180.00,100R
R322,RES1206-3216,602.520mil,8852.913mil,602.520mil,8852.913mil,669.449mil,8852.913mil,B,180.00,100R
R422,RES1206-3216,5405.670mil,8852.913mil,5405.670mil,8852.913mil,5472.599mil,8852.913mil,B,180.00,100R
R121,RES1206-3216,1758.504mil,3021.299mil,1758.504mil,3021.299mil,1825.433mil,3021.299mil,B,180.00,1K
R221,RES1206-3216,6561.654mil,3021.299mil,6561.654mil,3021.299mil,6628.583mil,3021.299mil,B,180.00,1K
