Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C102,"CAP0603,1608",2758.347mil,4806.810mil,2758.347mil,4806.810mil,2758.347mil,4840.865mil,B,270.00,100nF
C202,"CAP0603,1608",7561.497mil,4806.810mil,7561.497mil,4806.810mil,7561.497mil,4840.865mil,B,270.00,100nF
C302,"CAP0603,1608",2758.347mil,10633.582mil,2758.347mil,10633.582mil,2758.347mil,10667.637mil,B,270.00,100nF
C402,"CAP0603,1608",7561.497mil,10633.582mil,7561.497mil,10633.582mil,7561.497mil,10667.637mil,B,270.00,100nF
C101,C100UF,432.520mil,1946.139mil,482.520mil,1946.141mil,482.520mil,1946.139mil,T,180.00,10uF 25v
C201,C100UF,5235.670mil,1946.139mil,5285.670mil,1946.141mil,5285.670mil,1946.139mil,T,180.00,10uF 25v
C301,C100UF,432.520mil,7772.911mil,482.520mil,7772.913mil,482.520mil,7772.911mil,T,180.00,10uF 25v
C401,C100UF,5235.670mil,7772.911mil,5285.670mil,7772.913mil,5285.670mil,7772.911mil,T,180.00,10uF 25v
Q105,SOT95P240-3RM,3282.520mil,5766.141mil,3282.520mil,5766.141mil,3282.520mil,5812.401mil,B,270.00,2N3906
Q205,SOT95P240-3RM,8085.670mil,5766.141mil,8085.670mil,5766.141mil,8085.670mil,5812.401mil,B,270.00,2N3906
Q305,SOT95P240-3RM,3282.520mil,11592.913mil,3282.520mil,11592.913mil,3282.520mil,11639.173mil,B,270.00,2N3906
Q405,SOT95P240-3RM,8085.670mil,11592.913mil,8085.670mil,11592.913mil,8085.670mil,11639.173mil,B,270.00,2N3906
R153,RES1206-3216,3191.693mil,5025.393mil,3191.693mil,5025.393mil,3124.764mil,5025.393mil,B,360.00,100K
R253,RES1206-3216,7994.843mil,5025.393mil,7994.843mil,5025.393mil,7927.914mil,5025.393mil,B,360.00,100K
R353,RES1206-3216,3191.693mil,10852.165mil,3191.693mil,10852.165mil,3124.764mil,10852.165mil,B,360.00,100K
R453,RES1206-3216,7994.843mil,10852.165mil,7994.843mil,10852.165mil,7927.914mil,10852.165mil,B,360.00,100K
R152,RES1206-3216,3191.693mil,4905.393mil,3191.693mil,4905.393mil,3124.764mil,4905.393mil,B,360.00,1k
R252,RES1206-3216,7994.843mil,4905.393mil,7994.843mil,4905.393mil,7927.914mil,4905.393mil,B,360.00,1k
R352,RES1206-3216,3191.693mil,10732.165mil,3191.693mil,10732.165mil,3124.764mil,10732.165mil,B,360.00,1k
R452,RES1206-3216,7994.843mil,10732.165mil,7994.843mil,10732.165mil,7927.914mil,10732.165mil,B,360.00,1k
R151,RES1206-3216,3191.693mil,4785.393mil,3191.693mil,4785.393mil,3258.622mil,4785.393mil,B,180.00,100K
R251,RES1206-3216,7994.843mil,4785.393mil,7994.843mil,4785.393mil,8061.772mil,4785.393mil,B,180.00,100K
R351,RES1206-3216,3191.693mil,10612.165mil,3191.693mil,10612.165mil,3258.622mil,10612.165mil,B,180.00,100K
R451,RES1206-3216,7994.843mil,10612.165mil,7994.843mil,10612.165mil,8061.772mil,10612.165mil,B,180.00,100K
R150,RES1206-3216,3191.693mil,5385.393mil,3191.693mil,5385.393mil,3124.764mil,5385.393mil,B,360.00,1R
R250,RES1206-3216,7994.843mil,5385.393mil,7994.843mil,5385.393mil,7927.914mil,5385.393mil,B,360.00,1R
R350,RES1206-3216,3191.693mil,11212.165mil,3191.693mil,11212.165mil,3124.764mil,11212.165mil,B,360.00,1R
R450,RES1206-3216,7994.843mil,11212.165mil,7994.843mil,11212.165mil,7927.914mil,11212.165mil,B,360.00,1R
R149,RES1206-3216,3191.693mil,5265.393mil,3191.693mil,5265.393mil,3258.622mil,5265.393mil,B,180.00,33K
R249,RES1206-3216,7994.843mil,5265.393mil,7994.843mil,5265.393mil,8061.772mil,5265.393mil,B,180.00,33K
R349,RES1206-3216,3191.693mil,11092.165mil,3191.693mil,11092.165mil,3258.622mil,11092.165mil,B,180.00,33K
R449,RES1206-3216,7994.843mil,11092.165mil,7994.843mil,11092.165mil,8061.772mil,11092.165mil,B,180.00,33K
R148,RES1206-3216,3191.693mil,5145.393mil,3191.693mil,5145.393mil,3124.764mil,5145.393mil,B,360.00,100K
R248,RES1206-3216,7994.843mil,5145.393mil,7994.843mil,5145.393mil,7927.914mil,5145.393mil,B,360.00,100K
