"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R5","RES1206-3216","451.142mil","1213.621mil","451.142mil","1213.621mil","384.213mil","1213.621mil","B","360.00","470R"
"R4","RES1206-3216","3981.103mil","4299.684mil","3981.103mil","4299.684mil","3914.173mil","4299.684mil","B","360.00","1K"
"R3","RES1206-3216","451.142mil","1093.621mil","451.142mil","1093.621mil","384.213mil","1093.621mil","B","360.00","1K"
"R2","RES1206-3216","3981.103mil","4179.684mil","3981.103mil","4179.684mil","3914.173mil","4179.684mil","B","360.00","10K"
"R1","RES1206-3216","451.142mil","973.621mil","451.142mil","973.621mil","384.213mil","973.621mil","B","360.00","10K"
"Q3","SOT95P240-3RM","211.142mil","1173.622mil","211.142mil","1173.621mil","164.882mil","1173.622mil","B","180.00","2N3904"
"Q1","SOT95P240-3RM","211.142mil","993.622mil","211.142mil","993.621mil","164.882mil","993.622mil","B","180.00","2N3906"
"MDD1","IDC5X2","3602.52mil","194.33mil","3602.52mil","194.33mil","3802.52mil","244.33mil","T","270.00","IDC5X2"
"MDC1","IDC5X2","2762.52mil","194.33mil","2762.52mil","194.33mil","2962.52mil","244.33mil","T","270.00","IDC5X2"
"MDA1","IDC5X2","1082.52mil","194.33mil","1082.52mil","194.33mil","1282.52mil","244.33mil","T","270.00","IDC5X2"
"P4","AZUL5-4","4007.244mil","5554.33mil","4302.52mil","5554.33mil","4302.52mil","5554.33mil","T","180.00","BORNERA 2P"
"P5","AZUL5-2","484.095mil","5554.33mil","582.52mil","5554.33mil","582.52mil","5554.33mil","T","180.00","VOLT AC"
"P2","HDR1X5","4582.52mil","2854.33mil","4582.52mil","2654.33mil","4582.52mil","2654.33mil","T","90.00","ICSP"
"P1","HDR1X5","2342.52mil","2154.33mil","2542.52mil","2154.33mil","2542.52mil","2154.33mil","T","180.00","NONE"
"L1","74279224271","2642.52mil","4296.83mil","2642.52mil","4294.33mil","2772.52mil","4294.33mil","T","180.00","270R"
"D5","DIODE-0.3_GENARO","1442.52mil","5474.33mil","1442.52mil","5474.33mil","1442.52mil","5324.33mil","T","270.00","1N4004"
"D4","DIODE-0.3_GENARO","1222.52mil","5474.33mil","1222.52mil","5474.33mil","1222.52mil","5324.33mil","T","270.00","1N4004"
"D3","DIODE-0.3_GENARO","1022.52mil","5474.33mil","1022.52mil","5474.33mil","1022.52mil","5324.33mil","T","270.00","1N4004"
"D2","DIODE-0.3_GENARO","822.52mil","5474.33mil","822.52mil","5474.33mil","822.52mil","5324.33mil","T","270.00","1N4004"
"D1","DIODE-0.3_GENARO","3122.52mil","5474.33mil","3122.52mil","5474.33mil","3122.52mil","5324.33mil","T","270.00","1N4004"
"C22","CAP0603,1608","2662.52mil","4054.33mil","2662.52mil","4054.33mil","2628.465mil","4054.33mil","B","360.00","15pF"
"C21","CAP0603,1608","2662.52mil","3974.33mil","2662.52mil","3974.33mil","2628.465mil","3974.33mil","B","360.00","15pF"
"C20","CAP0603,1608","2882.52mil","2754.33mil","2882.52mil","2754.33mil","2848.465mil","2754.33mil","B","360.00","15pF"
"C19","CAP0603,1608","2882.52mil","2954.33mil","2882.52mil","2954.33mil","2848.465mil","2954.33mil","B","360.00","15pF"
"C18","CAP0603,1608","4122.52mil","1694.33mil","4122.52mil","1694.33mil","4122.52mil","1728.385mil","B","270.00","100nF"
"C17","CAP0603,1608","3989.187mil","1694.33mil","3989.187mil","1694.33mil","3989.187mil","1728.385mil","B","270.00","100nF"
"C16","CAP0603,1608","3855.853mil","1694.33mil","3855.853mil","1694.33mil","3855.853mil","1728.385mil","B","270.00","100nF"
"C15","CAP0603,1608","3722.52mil","1694.33mil","3722.52mil","1694.33mil","3722.52mil","1728.385mil","B","270.00","100nF"
"C23","CAP0603,1608","3949.331mil","3317.322mil","3949.331mil","3317.322mil","3949.331mil","3351.377mil","B","270.00","15pF"
"C24","CAP0603,1608","4149.331mil","3317.322mil","4149.331mil","3317.322mil","4149.331mil","3351.377mil","B","270.00","15pF"
"U4","SOIC-SN8_M","2342.52mil","3514.33mil","2342.52mil","3514.33mil","2438.976mil","3589.33mil","B","180.00","25LC256-I/SN"
"U5","TQFP-PT44_M","3513.78mil","2854.33mil","3513.78mil","2854.33mil","3243.744mil","2901.656mil","B","315.00","PIC18F4520-I/PT"
"Y3","CRYSTAL","4042.522mil","3494.33mil","4042.52mil","3494.33mil","4140.948mil","3494.33mil","T","180.00","32,768Khz"
"R34","RES1206-3216","2122.52mil","1254.33mil","2122.52mil","1254.33mil","2122.52mil","1187.401mil","B","90.00","100K"
"DS1","Display_7Seg_4''","570.866mil","2861.22mil","570.866mil","2861.22mil","170.866mil","754.92mil","T","0.00","DISPLAY 7PULG AC"
"R33","RES1206-3216","2862.52mil","1254.33mil","2862.52mil","1254.33mil","2862.52mil","1187.401mil","B","90.00","100K"
"R37","RES1206-3216","3502.52mil","1254.33mil","3502.52mil","1254.33mil","3502.52mil","1321.259mil","B","270.00","4k7"
"R44","RES1206-3216","3702.52mil","1254.33mil","3702.52mil","1254.33mil","3702.52mil","1187.401mil","B","90.00","100K"
"R38","CRCW1206100KJNEA","2242.52mil","5234.33mil","2242.52mil","5234.33mil","2242.52mil","5167.401mil","B","90.00","100K"
"R43","RES1206-3216","2142.52mil","5234.33mil","2142.52mil","5234.33mil","2142.52mil","5301.259mil","B","270.00","100K"
"R39","RES1206-3216","2342.52mil","4294.33mil","2342.52mil","4294.33mil","2342.52mil","4361.259mil","B","270.00","4k7"
"R41","RES1206-3216","3602.52mil","1254.33mil","3602.52mil","1254.33mil","3602.52mil","1321.259mil","B","270.00","4k7"

