DesignatorBase,Offset X,Offset Y
100, 0mil, 511.81102362204723mil
200, 4803.149606299213mil, 511.81102362204723mil
300, 0mil, 6338.582677165355mil
400, 4803.149606299213mil, 6338.582677165355mil
